    2Theta     d (A)    Height      Area     FWHM
     3,419  13,36992    1154,8    7998,7    0,0700          
     4,839   9,44735   17132,7  101978,3    0,0600          
     5,929   7,71203   21795,5  129179,6    0,0600          
     7,656   5,97352     429,1    2437,5    0,0600          
     8,390   5,45231     951,0    5698,4    0,0600          
     9,061   5,04901   20957,1  124984,8    0,0600          
     9,690   4,72219    2684,7   16088,6    0,0600          
    10,280   4,45181  111990,8  671176,9    0,0600          
    11,369   4,02643   20816,3  124080,4    0,0600          
    11,877   3,85488   16299,9   93005,9    0,0600          
    12,362   3,70420    3645,6   21562,3    0,0600          
    13,283   3,44843    2150,1   12505,8    0,0600          
    13,721   3,33872    2088,4   12444,8    0,0600          
    14,147   3,23869    7096,5   40868,4    0,0600          
    14,559   3,14745   15208,5   90960,4    0,0600          
    14,960   3,06363   16078,5   96456,8    0,0600          
    15,350   2,98613    7581,7   45444,6    0,0600          
    15,731   2,91424    2201,8   13064,0    0,0600          
    16,106   2,84694    2884,6   16182,4    0,0600          
    16,251   2,82159     466,3    2779,5    0,0600          
    16,470   2,78443    2392,6   14353,5    0,0600          
    16,828   2,72564    1243,9    7257,0    0,0600          
    17,177   2,67058    2537,4   14692,0    0,0600          
    17,520   2,61878     491,6    2946,4    0,0600          
    17,856   2,56980    3441,9   19562,7    0,0600          
    18,188   2,52330     339,0    1999,9    0,0600          
    19,144   2,39833     364,9    1979,9    0,0600          
    19,759   2,32443     874,5    5229,1    0,0600          
    20,355   2,25709     692,3    3811,5    0,0600          
    20,647   2,22546     352,5    2054,9    0,0600          
    20,936   2,19506     719,6    4095,9    0,0600          
    21,219   2,16619     434,6    2587,3    0,0600          
    22,050   2,08545     756,3    4535,7    0,0600          
    22,590   2,03628     989,4    5932,5    0,0600          
    24,137   1,90750    1746,0   10089,3    0,0600          
    24,382   1,88861     367,0    2159,4    0,0600          
    24,876   1,85170     520,0    3238,0    0,0700          
    25,358   1,81701     636,7    3780,2    0,0600          
    27,427   1,68232     750,9    4371,3    0,0600          
    27,869   1,65614     283,9    1697,7    0,0600          
    28,301   1,63135     851,5    5073,1    0,0600          
    29,570   1,56283     671,9    4030,8    0,0600          
