    2Theta     d (A)    Height      Area     FWHM
     4,246  10,76678    4543,7   22631,6    0,0250          
     4,786   9,55134    2660,0   13163,6    0,0250          
     5,408   8,45438    9094,7   43745,7    0,0250          
     6,070   7,53212     590,5    3540,0    0,0300          
     7,008   6,52517     870,1    5202,9    0,0300          
     7,353   6,21920    1751,2    8614,8    0,0250          
     7,773   5,88386     403,2    1993,3    0,0250          
     7,797   5,86613     323,0    1219,8    0,0200          
     8,469   5,40134    2096,2    9632,3    0,0250          
     8,497   5,38326    2534,6   12194,8    0,0250          
     9,099   5,02816     785,0    3878,9    0,0250          
     9,295   4,92198    2298,3   13776,2    0,0300          
     9,581   4,77573    3034,9   18146,5    0,0300          
     9,874   4,63440     328,3    1473,6    0,0250          
    10,176   4,49684      91,4     410,0    0,0250          
    10,828   4,22708    4638,2   22248,7    0,0250          
    10,895   4,20123    5611,4   33622,0    0,0300          
    10,953   4,17887     738,9    3644,1    0,0250          
    10,999   4,16160     992,1    4909,4    0,0250          
    11,094   4,12593    1098,3    5435,0    0,0250          
    11,171   4,09750    2263,3   11210,5    0,0250          
    11,426   4,00630    2092,2   10352,7    0,0250          
    11,551   3,96337     363,9    1814,1    0,0250          
    11,952   3,83083     703,2    3474,1    0,0250          
    12,160   3,76550     297,5    1784,3    0,0300          
    12,270   3,73177    1677,7   10066,4    0,0300          
    12,431   3,68352    2757,4   16435,6    0,0300          
    12,761   3,58881    8592,0   51363,0    0,0300          
    12,792   3,58016    2635,1   10162,6    0,0200          
    13,229   3,46233     555,9    2753,7    0,0250          
    13,311   3,44106   11164,4   66480,4    0,0300          
    13,503   3,39240     643,2    4159,6    0,0350          
    13,581   3,37294    2101,3   10418,3    0,0250          
    13,809   3,31762      91,4     453,0    0,0250          
    13,896   3,29692    1927,2    9578,5    0,0250          
    14,038   3,26380     123,3     613,0    0,0250          
    14,392   3,18389   11747,8   57754,6    0,0250          
    14,459   3,16915    1214,8    7257,7    0,0300          
    14,581   3,14279    8083,8   40177,3    0,0250          
    14,631   3,13210    8700,1   34563,1    0,0200          
    14,665   3,12493    7906,8   39520,7    0,0250          
    14,755   3,10592    1471,0    8825,7    0,0300          
    14,878   3,08047     668,6    3295,0    0,0250          
    14,922   3,07139    1187,8    5496,9    0,0250          
    15,582   2,94211    4901,7   24221,1    0,0250          
    15,629   2,93327    4642,0   27604,5    0,0300          
    15,820   2,89811     512,2    3069,9    0,0300          
    15,902   2,88314     522,9    2557,1    0,0250          
    16,060   2,85497     845,3    4225,1    0,0250          
    16,095   2,84883     623,4    3117,1    0,0250          
    16,151   2,83910     667,9    4001,5    0,0300          
    16,273   2,81796    1165,4    6769,2    0,0300          
    16,315   2,81060    4163,0   24940,3    0,0300          
    16,410   2,79448     769,8    4617,6    0,0300          
    16,634   2,75714     794,2    4734,1    0,0300          
    16,826   2,72589    3083,4   18390,5    0,0300          
    16,885   2,71637    2683,5   16084,3    0,0300          
    16,957   2,70497     672,4    3287,0    0,0250          
    17,051   2,69024     499,1    2990,7    0,0300          
    17,411   2,63503     433,7    1721,4    0,0250          
    17,437   2,63111     697,0    3293,3    0,0250          
    17,619   2,60405     278,1    1665,7    0,0300          
    17,665   2,59740     265,1    1255,0    0,0300          
    17,722   2,58916     683,1    4048,0    0,0300          
    17,812   2,57607     196,5    1132,4    0,0300          
    18,071   2,53949     429,2    2553,8    0,0300          
    18,282   2,51042     275,2    1604,0    0,0300          
    18,378   2,49746     211,8     996,0    0,0250          
    18,452   2,48747     177,4    1225,6    0,0350          
    18,753   2,44791     175,8     783,1    0,0250          
    18,835   2,43733     143,6    1384,9    0,0500          
    19,287   2,38082     211,4    1034,1    0,0250          
    19,639   2,33848     687,8    3426,4    0,0250          
    19,680   2,33371     517,4    2586,1    0,0250          
    19,716   2,32950     217,2     885,8    0,0250          
    19,819   2,31744    2730,5   16337,5    0,0300          
    19,887   2,30962     167,0     651,7    0,0200          
    19,961   2,30112    3248,1   12754,4    0,0200          
    19,975   2,29954    4696,5   23478,6    0,0250          
    20,035   2,29278     738,2    4426,0    0,0300          
    20,225   2,27142    5861,6   35169,3    0,0300          
    20,369   2,25548     155,6     776,0    0,0250          
    20,425   2,24947     267,5    1335,5    0,0250          
    20,585   2,23210    1299,7    7797,3    0,0300          
    20,677   2,22231     302,3    1485,1    0,0250          
    20,704   2,21948     343,1    1689,3    0,0250          
    20,875   2,20141     364,3    2183,4    0,0300          
    21,001   2,18838     305,0    1669,3    0,0300          
    21,120   2,17615     844,9    5061,7    0,0300          
    21,239   2,16413     521,6    3119,7    0,0300          
    21,294   2,15864     412,6    2446,2    0,0300          
    21,482   2,13999     678,2    3033,9    0,0250          
    21,528   2,13541     420,7    2481,6    0,0300          
    21,617   2,12676    2246,6   13302,6    0,0300          
    21,659   2,12267    1076,7    4280,0    0,0200          
    21,704   2,11833     786,3    3744,3    0,0250          
    21,752   2,11372    5020,2   29722,4    0,0300          
    21,890   2,10052    7767,5   46600,4    0,0300          
    22,007   2,08950     385,3    1827,9    0,0250          
    22,071   2,08347     349,0    1726,8    0,0250          
    22,099   2,08087     304,1    1212,9    0,0200          
    22,181   2,07335     210,4    1049,9    0,0250          
    22,226   2,06919     649,9    3893,2    0,0300          
    22,286   2,06370    1766,5   10575,4    0,0300          
    22,384   2,05477     297,4    1366,7    0,0250          
    22,450   2,04874    3229,5   16130,5    0,0250          
    22,481   2,04601    2753,5   13740,1    0,0250          
    22,499   2,04436    1812,0    6000,1    0,0200          
    22,580   2,03711    6788,7   40709,9    0,0300          
    22,787   2,01887     541,8    3187,8    0,0300          
    22,856   2,01289    2633,9   15774,7    0,0300          
    22,891   2,00979     961,2    4465,7    0,0250          
    22,967   2,00322     491,1    2395,2    0,0250          
    23,115   1,99057     700,4    4198,7    0,0300          
    23,171   1,98588     153,0     763,8    0,0250          
    23,223   1,98148     709,7    4000,1    0,0300          
    23,374   1,96889    2667,0   17616,3    0,0350          
    23,464   1,96143     819,6    4863,5    0,0300          
    23,608   1,94957    1074,3    5027,6    0,0250          
    23,645   1,94656     535,8    2142,1    0,0200          
    23,693   1,94271    2098,1    8141,7    0,0200          
    23,722   1,94037    3245,0   18603,9    0,0300          
    23,764   1,93701     761,8    3758,5    0,0200          
    23,810   1,93331    2634,8   15807,0    0,0300          
    23,959   1,92146     150,5     989,6    0,0400          
    24,021   1,91656     310,4    1333,8    0,0250          
    24,039   1,91512     412,5    2059,0    0,0250          
    24,090   1,91120    3556,4   21311,7    0,0300          
    24,150   1,90647     172,0     839,8    0,0300          
    24,252   1,89862     334,3    1992,5    0,0300          
    24,361   1,89021     350,0    1393,0    0,0200          
    24,396   1,88757     446,4    1781,3    0,0200          
    24,432   1,88480     899,4    4302,2    0,0250          
    24,522   1,87797    1566,4    7478,2    0,0250          
    24,610   1,87135    1251,4    7505,2    0,0300          
    24,682   1,86600    1092,5    5329,9    0,0250          
    24,712   1,86378     793,0    3052,5    0,0200          
    24,756   1,86052     526,2    2451,2    0,0250          
    24,800   1,85726     197,4     986,9    0,0250          
    24,889   1,85071    3219,9   19263,2    0,0300          
    24,986   1,84365     338,7    1679,8    0,0250          
    25,019   1,84127     285,0    1235,3    0,0250          
    25,049   1,83912     210,5     940,7    0,0250          
    25,115   1,83435    1292,8    7754,2    0,0300          
    25,182   1,82955     394,8    2279,0    0,0200          
    25,225   1,82645     911,9    6033,1    0,0350          
    25,293   1,82165     695,6    3375,8    0,0250          
    25,329   1,81911     215,0    1769,6    0,0200          
    25,396   1,81438    1453,9    8703,4    0,0300          
    25,464   1,80958     986,9    4914,5    0,0250          
    25,521   1,80562    2112,4   12612,9    0,0300          
    25,667   1,79551    2992,2   14430,0    0,0250          
    25,722   1,79176    1129,5    5580,3    0,0250          
    25,738   1,79064     707,1    2472,9    0,0200          
    25,835   1,78403     989,0    5932,0    0,0300          
    25,884   1,78071    2102,6   18881,3    0,0450          
    26,072   1,76810     523,6    3077,6    0,0300          
    26,155   1,76261     136,5     955,0    0,0350          
    26,252   1,75618     290,8    1674,1    0,0300          
    26,347   1,74998     619,8    5531,4    0,0450          
    26,463   1,74247     479,7    2336,7    0,0250          
    26,499   1,74011     435,0    2601,5    0,0300          
    26,557   1,73638     544,5    2674,5    0,0250          
    26,595   1,73395     356,2    1780,9    0,0250          
    26,693   1,72767     220,4    1084,3    0,0250          
    26,767   1,72301    1197,3    5641,8    0,0250          
